partida_id,rodata,mandante,visitante,formacao_mandante,formacao_visitante,vencedor,mandante_Placar,visitante_Placar,mandante_rodata,mandante_clube,mandante_chutes_no_alvo,mandante_posse_de_bola,mandante_passes,mandante_faltas,mandante_cartao_amarelo,mandante_cartao_vermelho,mandante_impedimentos,mandante_escanteios,visitante_rodata,visitante_clube,visitante_chutes_no_alvo,visitante_posse_de_bola,visitante_passes,visitante_faltas,visitante_cartao_amarelo,visitante_cartao_vermelho,visitante_impedimentos,visitante_escanteios
8068,5,Bragantino,America-MG,4-3-3,4-1-4-1,-,2,2,5,Bragantino,9,63%,438,16,5,0,3,5,5,America-MG,3,37%,271,17,3,0,2,4
8069,5,Cuiaba,Atletico-MG,4-2-3-1,4-2-2-2,Atletico-MG,0,4,5,Cuiaba,1,46%,465,12,1,0,0,6,5,Atletico-MG,7,54%,551,17,2,0,1,1
8070,5,Flamengo,Goias,4-2-3-1,4-2-3-1,Flamengo,2,0,5,Flamengo,5,58%,551,22,0,0,1,8,5,Goias,6,42%,406,9,1,0,1,7
8071,5,Cruzeiro,Fluminense,4-2-3-1,4-2-3-1,Fluminense,0,2,5,Cruzeiro,5,48%,401,14,1,0,1,16,5,Fluminense,7,52%,469,10,5,1,3,3
8072,5,Palmeiras,Gremio,4-2-3-1,3-4-1-2,Palmeiras,4,1,5,Palmeiras,10,59%,562,10,2,0,2,7,5,Gremio,2,41%,407,13,4,0,0,4
8073,5,Coritiba,Vasco,5-4-1,4-3-3,-,1,1,5,Coritiba,6,35%,303,22,2,0,1,5,5,Vasco,2,65%,543,15,1,0,3,5
8074,5,Botafogo-RJ,Corinthians,4-2-3-1,4-1-4-1,Botafogo-RJ,3,0,5,Botafogo-RJ,6,54%,604,12,1,0,0,3,5,Corinthians,4,46%,527,5,2,0,0,3
8076,6,Bahia,Flamengo,3-4-1-2,4-1-4-1,Flamengo,2,3,6,Bahia,6,52%,411,16,4,2,0,10,6,Flamengo,5,48%,390,13,5,0,5,4
8077,6,Fluminense,Cuiaba,4-2-3-1,4-2-3-1,Fluminense,2,0,6,Fluminense,2,62%,644,14,3,0,0,7,6,Cuiaba,2,38%,391,10,4,0,4,3
8078,6,Palmeiras,Bragantino,4-2-3-1,4-3-3,-,1,1,6,Palmeiras,6,59%,444,12,1,0,3,15,6,Bragantino,3,41%,332,19,4,0,2,6
8079,6,Atletico-MG,Internacional,4-2-2-2,4-2-3-1,Atletico-MG,2,0,6,Atletico-MG,4,55%,514,14,2,0,0,3,6,Internacional,4,45%,425,8,3,0,2,3
8081,6,Vasco,Santos,4-3-3,4-2-3-1,Santos,0,1,6,Vasco,9,69%,515,14,4,0,0,14,6,Santos,1,31%,247,12,1,0,3,1
8082,6,Corinthians,Sao Paulo,4-1-4-1,4-2-3-1,-,1,1,6,Corinthians,3,33%,344,16,2,0,0,5,6,Sao Paulo,1,67%,691,18,4,0,2,4
8083,6,Athletico-PR,Coritiba,4-2-3-1,5-4-1,Athletico-PR,3,2,6,Athletico-PR,7,65%,593,9,3,0,1,4,6,Coritiba,3,35%,324,12,3,0,1,1
8085,6,America-MG,Cruzeiro,4-3-3,4-3-3,Cruzeiro,0,4,6,America-MG,2,47%,380,10,2,0,5,5,6,Cruzeiro,8,53%,427,17,0,0,3,6
8084,6,Goias,Botafogo-RJ,4-3-3,4-2-3-1,Goias,2,1,6,Goias,5,46%,342,23,6,0,2,4,6,Botafogo-RJ,2,54%,393,18,3,0,2,7
8086,7,Bahia,Goias,3-4-3,4-4-2,-,1,1,7,Bahia,4,51%,430,19,1,0,1,4,7,Goias,5,49%,423,13,3,0,6,6
8087,7,Bragantino,Athletico-PR,4-2-3-1,4-2-3-1,Bragantino,2,0,7,Bragantino,4,61%,453,20,3,0,2,6,7,Athletico-PR,4,39%,291,12,3,0,3,5
8088,7,Sao Paulo,Vasco,4-2-3-1,4-3-3,Sao Paulo,4,2,7,Sao Paulo,7,53%,460,9,0,0,0,3,7,Vasco,4,47%,395,16,4,0,1,9
8090,7,America-MG,Fortaleza,4-2-3-1,4-2-3-1,America-MG,2,1,7,America-MG,3,27%,284,14,4,0,0,1,7,Fortaleza,6,73%,744,8,2,0,1,2
8091,7,Botafogo-RJ,Fluminense,4-2-3-1,4-2-3-1,Botafogo-RJ,1,0,7,Botafogo-RJ,7,34%,272,24,4,0,2,7,7,Fluminense,0,66%,539,14,2,0,1,4
8089,7,Coritiba,Atletico-MG,3-5-2,4-1-2-1-2,Atletico-MG,1,2,7,Coritiba,4,33%,273,20,3,1,2,5,7,Atletico-MG,8,67%,544,17,6,1,1,7
8093,7,Flamengo,Corinthians,4-2-2-2,4-4-2,Flamengo,1,0,7,Flamengo,3,65%,672,9,0,0,0,6,7,Corinthians,3,35%,356,12,2,0,2,9
8094,7,Gremio,Internacional,3-4-3,4-2-3-1,Gremio,3,1,7,Gremio,6,29%,233,14,0,1,1,3,7,Internacional,4,71%,568,15,1,0,1,7
8095,7,Cruzeiro,Cuiaba,4-3-3,4-3-3,Cuiaba,0,1,7,Cruzeiro,8,66%,539,16,1,0,5,6,7,Cuiaba,2,34%,289,15,3,0,2,2
8096,8,Athletico-PR,Gremio,4-2-3-1,3-4-2-1,Gremio,1,2,8,Athletico-PR,4,66%,539,14,2,0,1,10,8,Gremio,4,34%,282,15,4,0,2,5
8097,8,Fortaleza,Vasco,4-4-2,4-3-3,Fortaleza,2,0,8,Fortaleza,6,49%,370,11,3,0,3,9,8,Vasco,1,51%,387,15,1,0,3,5
8098,8,Flamengo,Cruzeiro,4-3-1-2,4-3-3,-,1,1,8,Flamengo,2,62%,618,12,4,0,5,2,8,Cruzeiro,6,38%,378,18,5,0,3,1
8099,8,Cuiaba,Coritiba,4-3-3,3-4-1-2,-,1,1,8,Cuiaba,3,43%,392,8,3,0,0,2,8,Coritiba,2,57%,518,13,5,0,3,6
8100,8,Sao Paulo,Goias,4-2-3-1,4-4-2,Sao Paulo,2,1,8,Sao Paulo,6,68%,604,12,2,0,3,11,8,Goias,4,32%,283,16,4,0,1,5
8102,8,Internacional,Bahia,4-2-3-1,3-4-3,Internacional,2,0,8,Internacional,2,44%,429,10,1,0,3,2,8,Bahia,4,56%,528,13,2,0,0,7
8101,8,Corinthians,Fluminense,4-4-2,4-2-3-1,Corinthians,2,0,8,Corinthians,4,30%,309,18,4,0,2,7,8,Fluminense,7,70%,728,6,2,0,3,6
8104,8,Bragantino,Santos,4-3-3,4-2-3-1,Bragantino,2,0,8,Bragantino,9,59%,483,13,2,0,3,5,8,Santos,1,41%,341,10,1,0,4,4
8103,8,Atletico-MG,Palmeiras,4-1-3-2,4-2-3-1,-,1,1,8,Atletico-MG,4,59%,489,27,3,0,0,3,8,Palmeiras,2,41%,347,15,3,0,3,3
8105,8,Botafogo-RJ,America-MG,4-2-3-1,4-1-4-1,Botafogo-RJ,2,0,8,Botafogo-RJ,6,56%,473,9,2,0,2,7,8,America-MG,1,44%,386,11,3,0,3,0
8107,9,Athletico-PR,Botafogo-RJ,4-2-3-1,4-2-3-1,Athletico-PR,1,0,9,Athletico-PR,7,47%,390,15,3,0,3,6,9,Botafogo-RJ,4,53%,422,12,2,0,0,7
8108,9,Cruzeiro,Atletico-MG,4-3-3,4-2-3-1,Atletico-MG,0,1,9,Cruzeiro,5,66%,445,19,6,0,3,12,9,Atletico-MG,3,34%,249,21,5,0,5,4
8109,9,America-MG,Corinthians,4-1-3-2,3-4-2-1,America-MG,2,0,9,America-MG,6,29%,287,16,1,0,1,2,9,Corinthians,2,71%,700,14,0,0,0,3
8110,9,Santos,Internacional,4-2-3-1,4-2-3-1,-,1,1,9,Santos,4,56%,476,19,2,0,0,5,9,Internacional,3,44%,385,12,4,0,0,5
8111,9,Fluminense,Bragantino,4-2-3-1,4-3-3,Fluminense,2,1,9,Fluminense,4,51%,422,11,5,0,2,6,9,Bragantino,3,49%,398,12,2,0,1,6
8112,9,Gremio,Sao Paulo,3-4-2-1,3-4-2-1,Gremio,2,1,9,Gremio,7,40%,374,9,2,0,3,6,9,Sao Paulo,4,60%,550,13,1,0,2,8
8113,9,Goias,Cuiaba,4-2-3-1,4-2-3-1,Cuiaba,0,1,9,Goias,3,56%,447,19,2,0,2,4,9,Cuiaba,8,44%,368,14,3,0,1,5
